Nom_site;Typologie_intervention_ADEME;Commune;Code_INSEE;Activites_historiques_site;Description_activites;Surface_site_m2;Superficie_bati_m2;Arrete_Prefectoral_Travaux_Office;Numeros_parcelles_cadastrales;Resume_intervention_ADEME;Liens_vers_BASOL_BASIAS;Usage_actuel_site;Region;Departement;CoordXLambert2Etendue;CoordYLambert2Etendue;Etat_operation;fiches_export
CANARI (MINES DE);Travaux, Dépollution et Maîtrise des transferts, Surveillance des milieux;Canari;2B058;Minerais et matière minérale (Extraction, Production, Transformation);Cette ancienne carrière a été exploitée pour l'extraction de serpentines riches en amiante. Une usine de traitement y est associée. Les  anciennes carrières et les différents bâtiments dominent le bord de mer et la RD 80 qui fait le tour du Cap corse. La carrière et les installations s'étalent entre 60 et 460 m d'altitude sur un versant très incliné (30 à  40 degrés). La carriere de CANARI a été exploitée industriellement de 1941 à  1965 puis laissée quasiment à  l'abandon depuis.;310000;0;La mission de l'ADEME est encadrée par divers arrêtés préfectoraux de travaux d'office qui ont confié à  l'agence, à  partir de 1998, diverses missions de travaux de mise en sécurité et de surveillance de l'ancienne carrière.;000J409 à  000J415- 000J449 à  000J452- 000J455 à  000J460- 000J462- 000J463- 000J465 à  000J468- 000J484- 000J1776 à  000J1781- 000J1785- 000J1786;Cette ancienne carrière a été exploitée pour l'extraction de serpentines riches en amiante. La carriere de CANARI a été exploitée industriellement de 1941 à  1965 puis laissée quasiment à  l'abandon depuis. En accord avec le ministère en charge de l'environnement, la préfecture a missionné l'ADEME pour la mise en sécurité du site. Divers travaux de terrassement, stabilisation et confinement ont été ménées par l'agence et des actions sont toujours en cours.;;Non renseigné;Corse;2B;1172387,2;1783013,6;En cours;
CARTONNERIE JACQUEMIN;Investigations environnementales, Surveillance des milieux;Sainte-Marguerite;88424;Papier Carton (Fabrication, Production);Depuis les années 1930, la société Cartonnerie Jacquemin est installée sur la commune de SAINTE-MARGUERITE sur le site d'une ancienne papeterie en activité depuis 1900. Elle y a exercé des activités de fabrication de cartons à  partir de vieux papiers ou de copeaux de bois. En 2000, la société a transféré ses installations sur un autre site. En 2002, la société Cartonnerie Jacquemin a été mise en liquidation judiciaire.;124000;4000;La mission de l'ADEME était encadrée par arrêtés préfectoraux de travaux d'office en date du 06 septembre 2011 et du 11 mai 2016 qui confiaient à  l'agence la réalisation d'investigations environnementales et la surveillance de la qualité des eaux souterraines.;000AC2- 000AC3- 000AC38;Depuis les années 1930, la société Cartonnerie Jacquemin a exercé des activités de fabrication de cartons à  partir de vieux papiers ou de copeaux de bois sur le site de Sainte-Marguerite. En 2002, la société Cartonnerie Jacquemin a été mise en liquidation judiciaire. En l'absence de responsables solvables, les actions de l'administration n'ont pas permis d'assurer la mise en sécurité du site. De fait, la préfecture a chargé l'ADEME de cette mise en sécurité. Dans ce cadre des investigations environnementales ont été engagées. Des actions sont toujours en cours sur ce site.;;Non renseigné;Grand-Est;88;944506,3;2374283,1;En cours;
CAUDRELIER - ELF;Gestion et élimination de déchets, Investigations environnementales;Solesmes;59571;Station service;Ancienne station service;non renseigné;non renseigné;La misseion de l'ADEME était encadrée par arrêté préfectoral de travaux d'office en date du 02 mars 2011 qui confiait à  l'agence la mise en sécurité des cuves de l'ancienne station service et le contrôle de la qualité des eaux souterraines.;000AO484- 000AO489 à  000AO491;"Une station service était en activité sur ce site et celle-ci a été placée en liquidation judiciaire. L'ADEME a été missionée par la préfecture pour assurer la mise en sécurité de ce site dans le cadre du plan ""station service"" (Grenelle de l'environnement). Dans ce cadre, l'agence a a engagé des investigations environnementales sur les eaux souterraines. Des actions sont toujours en cours sur ce site.";;Non renseigné;Hauts-de-France;59;683102,5;2577092,2;En cours;
CDT - COMPAGNIE DE DEVELOPPEMENT TEXTILE;Gestion et élimination de déchets, Investigations environnementales;Nomexy;88327;Textile, Teinturerie (production, préparation);L'ancien site de la Compagnie de Développement textile (CDT) était implanté sur 2 emprises séparées par la route. Le bourbier, les anciens bassins de décantation et d'homogénéisation étaient situés rue des anciens combattants d'Afrique du Nord. L'ancienne usine à  l'enseigne de Boussac Tissus Teints était implantée rue d'Alsace. La société a été placée en liquidation judiciaire en mars 2003.;35860;30810;La mission de l'ADEME était encadrée par arrêté préfectoral de travaux d'office en date du 29 décembre 2015 qui confiait à  l'agence la limitation des intrusions, l'évacuation et l'élimination des déchets dangereux et industriels présents sur le site, la réalisation d'investigations environnementales sur les eaux souterraines;000AD61- 000AI309- 000AL16- 000AL143- 000AL147;L'ancien site de la Compagnie de Développement textile (CDT) a été placée en liquidation judiciaire en mars 2003. En l'absence de responsable solvable, les actions de l'administration n'ont pas permis d'assurer la mise en sécurité du site. De fait, la préfecture a chargé l'ADEME de cette mise en sécurité. Dans ce cadre, des opérations d'évacuation de déchets et d'investigations environnementales sont prévues. Des actions sont en cours sur ce site. ;;Non renseigné;Grand-Est;88;900416,8;2374999,2;En cours;
CERF SARL - COMPAGNIE EUROPEENNE DES FONDERIES;Travaux, Dépollution et Maîtrise des transferts;Sapois;88442;Fonderie, Métallurgie, Forge;La société C.E.F. a mené des activités de fonderie, de travail mécanique des métaux, d'application de peinture, d'emploi de matière abrasive et d'utilisation d'appareils contaminés aux Polychlorobiphényles (PCB) et disposait d'un atelier de traitement de surface. Par jugement du 19 avril 2011, la société C.E.F. SARL a été placée en liquidation judiciaire.;19260;4800;La mission de l'ADEME était encadrée par arrêté préfectoral de travaux d'office en date du 24 octobre 2013 qui confiait à  l'agence des travaux d'excavation et de traitement de terres polluées aux PCB;000B777- 000B779- 000B780- 000B1278 à  000B1281- 000B1406- 000B1420 à  000B1423- 000B1472- 000B1473;La société C.E.F. a mené des activités de fonderie, de travail mécanique des métaux, d'application de peinture, d'emploi de matière abrasive, de traitement de surface.La société a été placée en liquidation judiciaire en avril 2011. En l'absence de responsable solvable, les actions de l'administration n'ont pas permis d'assurer la mise en sécurité du site. De fait, la préfecture a chargé l'ADEME de cette mise en sécurité. Dans ce cadre, 85T de terres polluées par les PCB ont été excavées et traitées en filière hors site. La mise en sécurité de ce site est terminé. L'état d'avancement du processus de remise en état et le devenir du site ne sont pas connus de l'ADEME. ;;Non renseigné;Grand-Est;80;929012,8;2344358,1;En cours;
CHAIGNAUD TEXTILE;Convention d'aide;La Rochefoucauld;16281;Textile, Teinturerie (production, préparation);L'implantation d'une usine spécialisée dans la teinture de fibres textiles à  La Rochefoucauld remonte à  1837. Le développement de l'activité sur la commune voisine a conduit, après guerre à  la construction de l'usine de Taracole. Cette unité était spécialisée dans l'enduction de textiles par du latex. De 1950 à  1981, les deux unités étaient exploitées par la SARL Ets L A CHAIGNAUD.;non renseigné;non renseigné;Rapprochement de l'EPF Poitou Charentes et de l'ADEME dans le cadre d'une aide à  la mise en sécurité dans le contexte d'une reconversion du site en ZAC pour la communauté de communes de Bandiat-Tardoire.;000AV485 000AV644 000AV293 000AV292 000AV291 000AV622 000AV620;La société CHAIGNAUD était spécialisée dans la teinture de fibres textiles dont l'activité sur le site de à  La Rochefoucault remonte à  1837. La mise en sécurité de ce site à  responsable défaillant s'opère dans le cadre d'un rapprochement entre l'EPF Poitou-Charentes et de l'ADEME dans le cadre du dispositif d'aide à  la mise en sécurité de sites en contexte de reconversion. L'aide à  la mise en sécurité de l'ADEME porte sur l'élimination des déchets textiles présents dans les bâtiments puis la gestion des sédiments stockés dans les lagunes utilisées pour traiter les effluents industriels et pour stocker les boues de la station d'épuration du site. La mise en sécurité du site et sa reconversion sont en cours de réalisation.;;non renseigné;Nouvelle-Aquitaine;16;448014;2083795;En cours;
CHALLENGER;Investigations environnementales, Travaux, Dépollution et Maîtrise des transferts;Lanton;33229;Regroupement, Tri, Transit, Recyclage (déchets divers);Centre de transit, regroupement ou tri de déchets non dangereux non inertes et installation de fabrication d'engrais et de support de cultures à  partir de déchets verts. La SN CHALLENGER bénéficiait d'un arrêté préfectoral d'autorisation réactualisé en dernier lieu le 21 mai 2012. Ses activités étaient exercées sur des terrains et dans des bâtiments qu'elle louait à  la commune de Lanton. Les parcelles sont situées à  l'écart de l'agglomération de Lanton mais dans le massif forestier des landes girondines.;108000; -   ;La mission de l'ADEME est encadrée par arrêté préfectoral de travaux d'office en date du 23 septembre 2016 qui confiait à  l'agence la réalisation d'investigations environnementales en vue de travaux de gestion des déchets en place.;000C277 000C278 000C280 000C282 000C284 000C285 000C286 000C288;La SN CHALLENGER était autorisée à  exploiter un centre de transit, regroupement, tri de déchets non dangereux non inertes et une installation de fabrication d'engrais et de supports de cultures à  partir de déchets verts. Elle exerà§ait son activité sur des terrains propriété de la commune de Lanton dans le massif forestier des landes girondines. La société a été placée en liquidation judiciaire le 26 février 2014 et les actions de l'administration à  l'encontre des responsables n'ont pu aboutir à  la mise en sécurité du site. De fait, en accord avec le ministère en charge de l'environnement, la préfecture a chargé l'ADEME de cette mise en sécurité. Un diagnostic de caractérisation des déchets stockés en merlon a été mené en vue d'évaluer un scénario adapté à  leur gestion tout en assurant la réduction du risque incendie et l'exploitation du site sous forme d'un parc photovoltaïque. La mise en sécurité du site est en cours.;;Perspective de parc photovoltaïque;Nouvelle-Aquitaine;33;335033,3;1975295,4;En cours;
CHANTOPAC CHIMIE;Gestion et élimination de déchets, Travaux, Dépollution et Maîtrise des transferts;Patay;45248;Peintures, savons, détergents, solvants, autre (Fabrication, Production);L'établissement se compose, pour l'essentiel, de trois bâtiments séparés, pour l'un d'entre eux, par la voie de desserte de la zone industrielle de PATAY, la rue Emmanuel LEGER. Initialement, ces bâtiments étaient accessibles aisément du fait de l'existence d'un portail non verrouillé et d'une clôture endommagée par la tempête de décembre 1999 et par de multiples intrusions. Le site était alors quasiment abandonné par son propriétaire : les terrains étaient en friches et des fûts non entièrement vides jonchaient le sol. La présence d'évents de respiration de réservoirs enterrés de solvants constituait l'un des vestiges de cette ancienne usine de fabrication de vernis, de peintures et de produits chimiques divers.;44930;2500;La mission de l'ADEME était encadrée par différentes arrêtés préfectoraux de travaux d'office (21 novembre 2003, 17 juin 2004, 30 novembre 2006) confiant à  l'ADEME diverses opérations concernant la pose de clôtures limitant les intrusions sur le site, la démolition de bâtiments dans le cadre des opérations d'évacuation et élimination de déchets industriels.;000AE3 000AE71;L'établissement CHANTOPAC CHIMIE menait une activité  de fabrication de vernis, de peintures et de produits chimiques divers. Le site a fait l'objet d'intrusion et d'incendies. La société a été placée en liquidation judiciaire le 03 mai 1999 avec clôture pour insuffisance d'actif le 17 mai 2001. En l'absence de responsable solvable, les actions engagées par l'administration n'ont pas permis d'assurer la mise en sécurité du site. De fait, la préfecture en accord avec le ministère en charge de l'environnement, a chargé l'ADEME de cette mise en sécurité. Dans ce cadre, 571T de déchets et principalement des déchets considérés comme dangereux au regard de la réglementation, ont été évacués et éliminés dans les filières agréées. La mise en sécurité du site est terminée. L'état d'avancement du processus de remise en état et le devenir du site ne sont pas connus de l'ADEME.;http//basol.developpement-durable.gouv.fr/fiche.php?page=6&index_sp=45.0023;Friche;Centre-Val-de-Loire;45;552765,1;2338499,9;Terminée;
CHEMIN DE DEVORAH (Société TRANSPORTS  CHENAUX - SCI les JARDINS DE MARION);Investigations environnementales;Bourg-en-Bresse;1053;Dépôt (enfouissement illégal);Une société civile immobilière a acheté le site pour la réalisation d'un lotissement de 43 logements. Les études géologiques préalables à  la construction ont révélé la présence de déchets enfouis à  une profondeur variant de 0,5 à  3,5 m sur une partie du terrain (parcelle BZ 76). Les informations résultant d'une enquête de voisinage révéleraient que, il y a une cinquantaine d'années, le site a servi pendant plusieurs années de décharge, laissant supposer la présence de plusieurs tonnes de déchets divers. L'ancien propriétaire possédait le terrain depuis 1961. Une société de transports a été le dernier occupant avec des activités d'entretien et de réparation mécanique de véhicules, et une installation de stockage de gazole associée à  une pompe de distribution. ;10500;0;;000BZ276;;;Usage multiples (Espace vert, voirie, et espace à  l'abandon);Auvergne-Rhone-Alpes;1;824609,8;2138404;Terminée;
CHIMIDEROUIL;Gestion et élimination de déchets, Investigations environnementales;Saint-Philbert-de-Grand-Lieu;44188;Traitement de surface;Cet établissement était spécialisé dans le traitement de surfaces de pièces de grandes dimensions (décapage acier et inox). Le site avait fait l'objet d'un arrêté préfectoral d'autorisation d'exploiter en 2000 par la société TECHNOCHIM FRANCE. Il a ensuite été repris par la société CHIMIDEROUIL en 2003. Les bains de traitements de surfaces totalisaient plus de 300 m3 de produits dangereux et étaient constitués notamment de solutions à  base d'acides fluorhydriques, nitriques et phosphoriques.;11630;2030;"18 aout 2006 (UI), évacuation du container perà§é, évacuation des bidons d'acide fluorhydrique et nitrique, fermeture des accès au bâtiment 02 mai 2007, Evacuation des produits et des déchets dangereux présents sur le site ainsi que les éventuels sous-produits générés lors des opérations d'enlèvement (notamment pour la récupération intégrale des résidus de fond de cuves de stockage des bains de traitement de surface et des rétention) ; Elimination des produits et déchets dangereux précités dans des installations autorisées. En attente, la fermeture du site est maintenue. 02 décembre 2008, Réaliser sur une année, en période de hautes eaux et basses eaux une campagne de surveillance des eaux souterraines à  partir des piézomètres implantés sur le site ; en fonction des résultats de cette première campagne, poursuivre des contrôles analytiques sur les puits du voisinage et en priorité ceux en aval hydraulique. Le coût de chaque campage est estimé à  10 000 euros TTC . 22 juin 2009 à  retrouver collecter";000AE140- 000AE142- 000AE153 et 000AE154;Cet établissement était spécialisé dans le traitement de surface de pièces de grandes dimension (décapage acier et inox). Le site avait fait l'objet d'un arrêté préfectoral d'autorisation d'exploiter ne 2000 par la société TECHNOCHIM France et ensuite et repris par la société CHIMIDEROUIL en 2003. Cette société a été placée en liquidation judiciaire et les actions de l'administration à  l'encontre des responsables n'ont pas permis d'assurer la mise en sécurité du site. En accord avec le ministère en charge de l'environnement la préfecture a chargé l'ADEME de cette mise en sécurité (APTO 18/08/2006, 02/05/2007, 02/12/2008, 22/06/2009). Dans ce cadre, 410 T de déchets industriels ont été évacués et éliminés dans les filières agréés et des investigations environnementales ont été menées sur les eaux souterraines. La mise en sécurité du site est terminée. L'état d'avancement du processus de remise en état et le devenir du site ne sont pas connus de l'ADEME.;;non renseigné;Pays de la Loire;44;298669,4;2235695,3;Terminée;
CHIMIE TRANS;Gestion et élimination de déchets;Moussy-le-neuf;77322;Déchets (Regroupement, Tri, Transit, Recyclage);Société qui a repris les activité de TRANS OPERATOR et était spécialisée dans les activités de négoce courtage de déchets dangereux. La société a été placé en liquidation judiciaire en mai 2006.;11300;2400;La mission de l'ADEME était encadrée par arrêté préfectoral de travaux d'office en date du 06 octobre 2008 (modifié ensuite par les arrêtés du 02 octobre 2009 et du 10 août 2010) qui confiait à  l'agence les opérations de récupérations et élimination de tous les déchets solides et liquides abandonnés dans le bâtiment et susceptibles de porter atteinte à  l'environnement, la gestion d'une cuve devant être vidangée, de terres souillées ...;000AT445;Société qui a repris les activités de TRANS OPERATOR et était spécialisée dans les activités de négoce courtage de déchets dangereux. La société a été placé en liquidation judiciaire en mai 2006. En l'absence de responsable solvable, les actions de l'administration n'ont pas permis d'assurer la mise en sécurité du site. De fait, en accord avec le ministère en charge de l'environnement, la préfecture a chargé l'ADEME de cette mise en sécurité. Dans ce cadre, 138T de déchets dangereux ont été évacués et traités dans les filières agréées. La mise en sécurité du site est terminée. L'état d'avancement du processus de remise en état et le devenir du site ne sont pas connus de l'ADEME.;;Activité industrielle ou artisanale non ICPE (stockage matériel agricole);Ile-de-France;77;619136,7;2451753;Terminée;
CHIMIEDEROUIL;Gestion et élimination de déchets, Investigations environnementales;Saint-Philbert-de-Grand-Lieu;44188;Traitement de surface, Revêtements, Application peintures;Cet établissement était spécialisé dans le traitement de surfaces de pièces de grandes dimensions (décapage acier et inox). Le site avait fait l'objet d'un arrêté préfectoral d'autorisation d'exploiter en 2000 par la société TECHNOCHIM FRANCE. Il a ensuite été repris par la société CHIMIDEROUIL en 2003. Les bains de traitements de surfaces totalisaient plus de 300 m3 de produits dangereux et étaient constitués notamment de solutions à  base d'acides fluorhydriques, nitriques et phosphoriques.;5140;2030;La mission de l'ADEME était encadrée par divers arrêtés préfectoraux en date du 18 août 2006, du 02 mai 2007 et du 02 décembre 2008 qui confiaient à  l'agence l'évacuation et l'élimination des déchets dangereux présents sur le site et la réalisation d'investigations environnementales sur les eaux souterraines.;000AE140 000AE142 000AE153 000AE154;Cet établissement était spécialisé dans le traitement de surface de pièces de grandes dimension (décapage acier et inox). Le site avait fait l'objet d'un arrêté préfectoral d'autorisation d'exploiter en 2000 par la société TECHNOCHIM France et ensuite et repris par la société CHIMIDEROUIL en 2003. Cette société a été placée en liquidation judiciaire et les actions de l'administration à  l'encontre des responsables n'ont pas permis d'assurer la mise en sécurité du site. En accord avec le ministère en charge de l'environnement la préfecture a chargé l'ADEME de cette mise en sécurité. Dans ce cadre, 410 T de déchets industriels ont été évacués et éliminés dans les filières agréés et des investigations environnementales ont été menées sur les eaux souterraines. La mise en sécurité du site est terminée. L'état d'avancement du processus de remise en état et le devenir du site ne sont pas connus de l'ADEME.;;non renseigné;Pays-de-la-Loire;44;298669,4;2235695,3;Terminée;
CHROM ANCIEN;Gestion et élimination de déchets;Aulnat;63019;Traitement de surface, Revêtements, Application peintures;nr;249;249;;000AD86- 000AD88;;;Non renseigné;Auvergne-Rhone-Alpes;63;664352,1;2088741,7;En cours;
CHROMIX;Gestion et élimination de déchets, Investigations environnementales;Saint-Piat-Coulombs-Lormay;28357;Traitement de surface, Revêtements, Application peintures;La Société CHROMIX a exercé sur ce site, de 1987 à  juin 1992, date de sa mise en liquidation judiciaire, une activité de traitements de surfaces des métaux en tant que faà§onnier. La remise en état du site, lequel n'est pas clos, n'a pas été effectuée et des matériels et des bains de traitement ont été abandonnés. ;non renseigné;non renseigné;La mission de l'ADEME était encadré par arrêté préfectoral de travaux d'office (24 octobre 1994 et 12 septembre 1996) confiant à  l'agence l'évacuation et élimination de déchets dangereux et des investigations environnementales.;;non renseigné;;non renseigné;Centre-Val-de-Loire;28;544670,9;2393931,1;Terminée;
CHRONO GROUPE;Gestion et élimination de déchets;Maubec;84071;Pneumatiques (dépôt de);Société qui a exploité de manière illégale un dépôt de pneumatiques de 1994 à  1997. Un incendie a brûlé environ la moitié du stock ainsi que le bâtiment métallique.;non renseigné;non renseigné;La mission de l'ADEME était encadrée par arrêté préfectoral de travaux d'office en date du 04 mars 1999 qui chargeait l'agence d'investigations environnementales au droit du site.;;Société qui a exploité de manière illégale un dépôt de pneumatiques de 1994 à  1997. Un incendie a brûlé environ la moitié du stock ainsi que le bâtiment métallique. Les actions de l'administration à  l'encontre des responsables n'ont pas permis d'assurer la mise en sécurité du site. De fait, en accord avec le ministère en charge de l'environnement, la préfecture a chargé l'ADEME de cette mise en sécurité. Dans ce cadre, les déchets de pneumatiques et d'incendie et terres chargées et souillées en déchets de pneumatiques ont été évacuées et traitées dans les filières hors sites autorisées. La mise en sécurité du site est terminée. L'état d'avancement du processus de remise en état et le devenir du site ne sont pas connus de l'ADEME.;;Non renseigné;PACA;84;;;Terminée;
CITRON;Gestion et élimination de déchets;Rogerville;76533;Regroupement, Tri, Transit, Recyclage (déchets métaux, piles, VHU);La société CITRON exploitait depuis 1998, à  Rogerville (76), un centre de traitement de déchets dangereux. Elle présentait la caractéristique de recevoir notamment des piles et accumulateurs, des sources lumineuses, ainsi que des résidus de broyage automobile (RBA). L'activité consistait à  extraire des métaux lourds contenus dans les déchets, en vue de leur recyclage.;11700;50000;La mission de l'ADEME était encadrée par divers arrêtés préfectoraux de travaux d'office (11 février 2011, 11 mars 2011, 10 octobre 2011, 01 mars 2012, 21 décembre 2012, 27 décembre 2013, 06 juin 2014) confiant à  l'agence des opérations visant la limitation des intrusions sur le site ainsi que l'évacuation et l'élimination des divers déchets abandonnés susceptibles de polluer l'environnement.;AD7 AD10 AD16 AD20 AD29 AD31 AD32 AD33 AD36 AD37;La société CITRON exploitait depuis 1998 un centre de traitement de déchets dangereux. Elle présentait la caractéristique de recevoir notamment des piles et accumulateurs, des sources lumineuses, ainsi que des résidus de broyage automobile (RBA). L'activité consistait à  extraire des métaux lourds contenus dans les déchets, en vue de leur recyclage. Divers incendies se sont déclarés sur le site de la société qui a été placée en liquidation judiciaire en décembre 2010. En l'absence de responsable solvable, les actions de l'administration n'ont pas permis d'assurer la mise en sécurité du site. De fait, en accord avec le ministère en charge de l'environnement, la préfecture a chargé l'ADEME de cette mise en sécurité. Dans ce cadre, 11624T de déchets dangereux ont été évacués et éliminés dans les filières agréées.;;non renseigné;Normandie;76;448282,2;2498337;Terminée;
CLINIQUE ESPERANCE;non renseigné;Château-Gontier;53062;Déversement accidentel (PCB);Le 31 octobre 1989 lors d'une opération de transfert, le renversement d'un transformateur a entraîné une pollution des sols par les PCB de la place Fouché à  Château Gontier devant la clinique, traduite lors de la dépollution par l'évacuation de 38 tonnes de terres souillées (165 fûts de 200 l). Le site de la clinique, ayant été débarassé des terres polluées, ne nécessite pas de surveillance.;non connue;non renseigné;;;;;non renseigné;Pays de la Loire;53;;;Terminée;
CMR - CHAMPAGNE METAUX RHONE;Gestion et élimination de déchets, Investigations environnementales;Bourg-les-valences;26058;Déchets (Regroupement, Tri, Transit, Recyclage);Le site CHAMPAGNE METAUX RHONE (CMR) était exploité jusqu'en 2009 pour une activité de recyclage de métaux sur une surface d'environ 10000 mÂ². Le site a été occupé avant 1975 pour des activités de stockage d'hydrocarbures, sur la moitié environ de l'emprise du site actuel. Cette activité avait vraisemblablement démarré avant 1954, mais la durée de fonctionnement n'est pas connue. De 1975 à  2009 le site a été réaffecté au stockage de métaux ferreux et non ferreux, y compris sur des zones non bétonnées (les zones bétonnées se limitant aux abords des 3 bâtiments). Le site a fait l'objet d'une déclaration de cessation d'activité le 30/08/2009. Il a été placé en liquidation judiciaire le 11/01/2010.;11000;500;;000AT50- 000AT51- 000AT52;;;Non renseigné;Auvergne-Rhone-Alpes;26;803256,7;1997695,9;En cours;
CMS;Gestion et élimination de déchets, Investigations environnementales;Montayral;47185;Traitement de surface, Revêtements, Application peintures;Cet ancien atelier de traitement de surfaces par chromage et nickelage, a été créé par la société GUITARD et FORT et autorisé le 6 décembre 1983. Il était dédié à  des travaux d'entretien de pièces mécaniques (alésage, affutage,.) puis à  des opérations de traitements de surface des métaux et alliages par le chrome et le nickel. Il comprend un bain de démétallisation électrolytique (soude) et 10 bains de chromage électrolytique (acide chromique).;non renseigné;non renseigné;La mission de l'ADEME est encadrée par arrêté préfectoral de travaux d'office en date du 28 avril 2020 qui confie à  l'agence l'évacuation des déchets industriels du site présentant un risque de pollution et la réalisation d'investigations environnementales.;;Ancien atelier de traitement de surface par chromage et nickelage créé par la société GUITARD et FORT en 1983. Suite à  cessation d'activité, la société a été placée en liquidation judiciaire le 22 janvier 2013 et les actions de l'administration à  l'encontre des responsables n'ont pas permis d'assurer la mise en sécurité du site. De fait, en accord avec le ministère en charge de l'environnement la préfecture a sollicité l'ADEME en vue d'assurer les opérations de mise en sécurité nécessaires. Des opérations d'évacuation et élimination des déchets et d'investigations environnementales doivent être engagées. La mise en sécurité du site est en cours.;;non renseigné;Nouvelle-Aquitaine;47;492767,7;1943441;En cours;
COL DE SERRE COLON;Investigations environnementales, Travaux, Dépollution et Maîtrise des transferts;Montjoyer;26203;Dépôt (déchets industriels);Abandon, sur la parcelle d'un particulier, d'un transformateur électrique désossé qui contenait un fluide diélectrique (250 kg) et suspicion de pollution des sols;Non renseigné;Non renseigné;;;;;Non renseigné;Auvergne-Rhone-Alpes;26;804846,62;1945551,1;Terminée;
COMAFER;Investigations environnementales;Avesnes les Aubert;59037;Déchets (Regroupement, Tri, Transit, Recyclage);Ancien dépôt de ferrailles qui a été placé en cessation d'activités en 1994. Une étude sols a montré la présence de PCB. ;13030;0;La mission de l'ADEME était encadrée par arrêté préfectoral de travaux d'office en date du 13 décembre 2012 qui confiait à  l'agence des investigations environnementales;000OH239 à  000OH242- 000OH257- 000OH73- 000OH74- 000OH62- 000OH174;La société COMAFER menait une activité de transit et valorisation de déchets de ferrailles et s'est trouvée en cessation d'activité en 1994. A la suite d'une étude de sol montrant des impacts en PCB et en l'absence de responsable solvable, la préfecture en accord avec le ministère en charge de l'environnement a confié à  l'ADEME la réalisation d'investigations environnementales dans le cadre des opérations de mise en sécurité. Ces investigations ont été menées et ce site est mis en sécurité. L'état d'avancement du processus de remise en état et le devenir du site ne sont pas connus de l'ADEME.;;Non renseigné;Hauts-de-France;59;675776,1;2578084,2;Terminée;
COMPAGNIE FRANCAISE DES MINES DE DEZE;Gestion et élimination de déchets, Travaux, Dépollution et Maîtrise des transferts;Massiac;15119;Minerais et matière minérale (Extraction, Production, Transformation);La mine d'antimoine d'Ouche, proche de Massiac, exploitée en dernier lieu par la Compagnie Franà§aise des Mines de Dèze (CFMD) a cessé toute activité en 1967. Exploitée de faà§on très irrégulière depuis le début du 19éme siècle, cette mine comportait une laverie de minerais. Des bassins de décantation d'un volume estimé à  50 000 m3 permettaient de stocker les résidus issus du lavage des minerais d'exploitation. Cette société a été mise en liquidation judiciaire en 1978 et la liquidation des biens a été prononcée en 1997. Avec la disparition de la société CFMD, le complexe minier et industriel est devenu orphelin et l'Etat a poursuivi les actions de mise en sécurité, commencées en 1989. ;196000;0;;000B1503- 000B1504- 000B1505- 000B1506- 000B1507- 000B1508- 000B1509- 000B1510- 000B1511- 000B1512- 000B1513- 000B1514- 000B1515- 000B1518- 000B1519- 000B1546- 000B1547;;;Non renseigné;Auvergne-Rhone-Alpes;15;666068,1;2030522,5;En cours;
